customer_id,recency_days,frequency,monetary_value,recency_score,frequency_score,monetary_score,customer_segment
99,101,18,148240.76,1,1,1,Lost Customers
157,242,19,131425.26,3,1,1,Potential Loyalists
286,220,19,125822.11,2,1,1,Lost Customers
335,302,16,125362.68,3,1,1,Potential Loyalists
280,270,20,121995.47,3,1,1,Potential Loyalists
260,32,19,121162.31,1,1,1,Lost Customers
345,130,20,120992.8,1,1,1,Lost Customers
174,113,16,120177.8,1,1,1,Lost Customers
289,248,18,119773.49,3,1,1,Potential Loyalists
17,127,17,118672.99,1,1,1,Lost Customers
103,71,18,118062.05,1,1,1,Lost Customers
259,295,20,117337.84,3,1,1,Potential Loyalists
245,102,18,117319.84,1,1,1,Lost Customers
257,189,20,116554.88,2,1,1,Lost Customers
127,24,17,116171.37,1,1,1,Lost Customers
369,368,18,115769.87,5,1,1,Potential Loyalists
263,338,18,115388.82,4,1,1,Potential Loyalists
296,386,18,115050.79,5,1,1,Potential Loyalists
34,305,17,114889.45,4,1,1,Potential Loyalists
188,355,20,113851.9,4,1,1,Potential Loyalists
61,165,16,113596.88,2,1,1,Lost Customers
20,39,17,112207.2,1,1,1,Lost Customers
201,109,20,111538.07,1,1,1,Lost Customers
272,256,16,111411.48,3,1,1,Potential Loyalists
324,142,16,111021.31,2,1,1,Lost Customers
254,205,17,110663.14,2,1,1,Lost Customers
131,312,16,110345.93,4,1,1,Potential Loyalists
158,307,15,109501.01,4,1,1,Potential Loyalists
393,323,18,109049.95,4,1,1,Potential Loyalists
278,73,19,107747.83,1,1,1,Lost Customers
400,91,19,107604.03,1,1,1,Lost Customers
283,112,17,107333.11,1,1,1,Lost Customers
141,113,16,107232.8,1,1,1,Lost Customers
270,313,18,107201.16,4,1,1,Potential Loyalists
419,330,19,107152.49,4,1,1,Potential Loyalists
48,163,18,107087.8,2,1,1,Lost Customers
392,309,18,106509.83,4,1,1,Potential Loyalists
358,70,16,106433.97,1,1,1,Lost Customers
140,119,20,105899.75,1,1,1,Lost Customers
295,139,17,105399.87,2,1,1,Lost Customers
233,190,19,103909.68,2,1,1,Lost Customers
45,294,14,103742.65,3,1,1,Potential Loyalists
290,107,18,103614.2,1,1,1,Lost Customers
318,225,15,103490.81,3,1,1,Potential Loyalists
277,45,19,103099.28,1,1,1,Lost Customers
76,309,19,102530.43,4,1,1,Potential Loyalists
114,349,16,102175.95,4,1,1,Potential Loyalists
297,251,18,101365.09,3,1,1,Potential Loyalists
390,38,16,101155.73,1,1,1,Lost Customers
159,42,16,101046.71,1,1,1,Lost Customers
193,45,18,100863.71,1,1,1,Lost Customers
276,224,18,100818.8,3,1,1,Potential Loyalists
351,210,18,100462.74,2,1,1,Lost Customers
43,329,18,99925.95,4,1,1,Potential Loyalists
70,271,15,99871.98,3,1,1,Potential Loyalists
408,209,18,99780.61,2,1,1,Lost Customers
113,351,17,99720.28,4,1,1,Potential Loyalists
109,22,19,99627.23,1,1,1,Lost Customers
148,291,17,99182.36,3,1,1,Potential Loyalists
122,205,18,99161.81,2,1,1,Lost Customers
222,259,16,99070.42,3,1,1,Potential Loyalists
71,128,17,98933.1,1,1,1,Lost Customers
36,157,17,98478.0,2,1,1,Lost Customers
249,163,16,97966.5,2,1,1,Lost Customers
146,48,17,97747.52,1,1,1,Lost Customers
145,368,17,97315.8,5,1,1,Potential Loyalists
85,318,17,97208.93,4,1,1,Potential Loyalists
285,140,19,97047.16,2,1,1,Lost Customers
162,271,17,96989.82,3,1,1,Potential Loyalists
173,115,18,96945.76,1,1,1,Lost Customers
154,165,19,96885.43,2,1,1,Lost Customers
362,210,18,96705.66,2,1,1,Lost Customers
308,139,17,96268.08,2,1,1,Lost Customers
214,177,15,96015.04,2,1,1,Lost Customers
326,169,17,95820.51,2,1,1,Lost Customers
420,222,18,95730.3,2,1,1,Lost Customers
261,195,18,95664.81,2,1,1,Lost Customers
383,360,17,95588.05,4,1,1,Potential Loyalists
394,202,19,95469.42,2,1,1,Lost Customers
134,233,18,95154.09,3,1,1,Potential Loyalists
346,226,18,95054.03,3,1,1,Potential Loyalists
26,305,17,94725.31,4,1,1,Potential Loyalists
363,198,16,94685.69,2,1,1,Lost Customers
176,5,20,94661.53,1,1,1,Lost Customers
368,54,14,94613.74,1,1,1,Lost Customers
111,173,19,94468.82,2,1,1,Lost Customers
231,42,15,94322.94,1,1,1,Lost Customers
192,19,18,94241.09,1,1,1,Lost Customers
156,268,16,93506.76,3,1,1,Potential Loyalists
388,92,16,93085.9,1,1,1,Lost Customers
18,285,19,93084.34,3,1,1,Potential Loyalists
144,59,18,92985.23,1,1,1,Lost Customers
84,364,16,92874.32,4,1,1,Potential Loyalists
337,184,16,92812.24,2,1,1,Lost Customers
66,28,18,92651.08,1,1,1,Lost Customers
322,338,19,92648.53,4,1,1,Potential Loyalists
291,325,17,92637.14,4,1,1,Potential Loyalists
331,186,15,92468.63,2,1,1,Lost Customers
167,100,19,92395.98,1,1,1,Lost Customers
50,116,16,92322.07,1,1,1,Lost Customers
65,269,19,92251.03,3,1,1,Potential Loyalists
302,341,19,92103.7,4,1,1,Potential Loyalists
341,371,18,91844.31,5,1,1,Potential Loyalists
19,300,14,91707.33,3,1,1,Potential Loyalists
25,203,17,91705.26,2,1,1,Lost Customers
407,365,18,91593.77,4,1,1,Potential Loyalists
96,145,18,91445.97,2,1,1,Lost Customers
311,386,19,91237.67,5,1,1,Potential Loyalists
191,112,17,90681.87,1,1,1,Lost Customers
237,192,14,90541.93,2,1,1,Lost Customers
153,6,18,90384.12,1,1,1,Lost Customers
3,207,17,90327.01,2,1,1,Lost Customers
171,194,16,90225.18,2,1,1,Lost Customers
229,283,17,90223.31,3,1,1,Potential Loyalists
189,198,18,89980.59,2,1,1,Lost Customers
380,43,17,89948.68,1,1,1,Lost Customers
63,207,18,89670.65,2,1,1,Lost Customers
813,134,9,89454.21,2,1,1,Lost Customers
219,337,20,89408.39,4,1,1,Potential Loyalists
1,35,18,89239.95,1,1,1,Lost Customers
39,115,18,89112.32,1,1,1,Lost Customers
165,270,19,89014.74,3,1,1,Potential Loyalists
372,250,17,88839.69,3,1,1,Potential Loyalists
350,139,16,88796.35,2,1,1,Lost Customers
413,372,18,88786.47,5,1,1,Potential Loyalists
310,82,20,88725.0,1,1,1,Lost Customers
256,136,16,88533.33,2,1,1,Lost Customers
100,299,16,88482.2,3,1,1,Potential Loyalists
22,303,17,87982.97,4,1,1,Potential Loyalists
405,103,15,87972.33,1,1,1,Lost Customers
412,328,17,87923.19,4,1,1,Potential Loyalists
319,142,18,87851.43,2,1,1,Lost Customers
315,301,17,87535.29,3,1,1,Potential Loyalists
216,107,17,87529.58,1,1,1,Lost Customers
396,113,15,87441.42,1,1,1,Lost Customers
317,56,17,87192.63,1,1,1,Lost Customers
313,125,18,87020.15,1,1,1,Lost Customers
371,134,16,86934.98,1,1,1,Lost Customers
130,295,16,86754.22,3,1,1,Potential Loyalists
194,201,20,86746.55,2,1,1,Lost Customers
117,258,17,86700.45,3,1,1,Potential Loyalists
186,328,18,86517.48,4,1,1,Potential Loyalists
60,193,17,86469.88,2,1,1,Lost Customers
172,284,20,86447.63,3,1,1,Potential Loyalists
11,359,20,86421.16,4,1,1,Potential Loyalists
14,290,18,86180.49,3,1,1,Potential Loyalists
93,55,17,86078.11,1,1,1,Lost Customers
161,221,18,85973.55,2,1,1,Lost Customers
207,162,17,85934.53,2,1,1,Lost Customers
